id,text
collapsed_passage,"A pile of rubble blocks the corridor ahead."
collapsed_passage_a0_act,"Scout a way around"
collapsed_passage_a0_win,"You find a crawlspace skirting the rubble — a modest shortcut."
collapsed_passage_a0_lose,"Every side passage dead-ends. The long way it is."
collapsed_passage_a1_act,"Clear the rubble"
collapsed_passage_a1_win,"You heave the debris aside, revealing a shortcut deeper into the dungeon."
collapsed_passage_a1_lose,"The rubble is too dense. The party takes the long way around."
collapsed_passage_a2_act,"Smash straight through"
collapsed_passage_a2_win,"Stone explodes outward — a clean tunnel, and loose valuables in the fill!"
collapsed_passage_a2_lose,"The heap shifts and half-buries you."
heave_the_gate,"A rusted portcullis bars the way to a side chamber. A chest gleams beyond."
heave_the_gate_a0_act,"Look for a winch"
heave_the_gate_a0_win,"You find the rusted winch and crank the gate open enough to reach through."
heave_the_gate_a0_lose,"The winch mechanism is destroyed. No easy way in."
heave_the_gate_a1_act,"Lift the portcullis"
heave_the_gate_a1_win,"With a groan of straining metal, the gate rises. The chest is yours."
heave_the_gate_a1_lose,"The gate won't budge. You'll need another way in."
heave_the_gate_a2_act,"Wrench it off its rails"
heave_the_gate_a2_win,"The whole gate tears free! Nothing stands between you and the loot."
heave_the_gate_a2_lose,"The gate snaps back down, catching your arm."
crack_the_wall,"This section of wall sounds hollow."
crack_the_wall_a0_act,"Tap for weak spots"
crack_the_wall_a0_win,"You find a loose block and slide it out — coins glint in the cavity."
crack_the_wall_a0_lose,"Solid rock everywhere you tap."
crack_the_wall_a1_act,"Shoulder the wall"
crack_the_wall_a1_win,"Stone crumbles away, revealing a hidden cache of gold!"
crack_the_wall_a1_lose,"Just solid rock. The effort leaves you winded and empty-handed."
crack_the_wall_a2_act,"Bring the whole wall down"
crack_the_wall_a2_win,"The wall collapses — behind it, a forgotten strongbox!"
crack_the_wall_a2_lose,"The ceiling sheds rubble on your head."
rope_bridge,"A frayed rope bridge spans a deep chasm. A chest is tied at its midpoint."
rope_bridge_a0_act,"Test each plank first"
rope_bridge_a0_win,"Slow and steady — you reach the chest and haul it back."
rope_bridge_a0_lose,"Too many planks are rotten through. Not worth the fall."
rope_bridge_a1_act,"Cross with grace"
rope_bridge_a1_win,"You cross with fluid grace, claiming the isolated chest."
rope_bridge_a1_lose,"The bridge sways violently. You retreat to solid ground."
rope_bridge_a2_act,"Everyone rushes across"
rope_bridge_a2_win,"The whole party thunders across before the ropes can complain — and strips the bridge of everything!"
rope_bridge_a2_lose,"Planks snap under the weight. Bruised bodies dangle from the ropes."
shattered_floor,"Crumbling tiles span a gap. A potion sits on a pedestal on the far side."
shattered_floor_a0_act,"Chart the solid tiles"
shattered_floor_a0_win,"You map a safe route tile by tile and retrieve the prize."
shattered_floor_a0_lose,"Cracks run through every tile. No safe path exists."
shattered_floor_a1_act,"Spring across"
shattered_floor_a1_win,"Light on your feet, you spring across the broken tiles and grab the prize!"
shattered_floor_a1_lose,"A tile gives way beneath you! You take a nasty tumble."
shattered_floor_a2_act,"Leap the whole gap"
shattered_floor_a2_win,"One impossible leap — you stick the landing and sweep the pedestal clean!"
shattered_floor_a2_lose,"You come up short and crash into the pit."
narrow_ledge,"A crumbling ledge hugs the wall, barely a foot wide. Something glints in an alcove ahead."
narrow_ledge_a0_act,"Rope up and anchor"
narrow_ledge_a0_win,"Anchored and careful, you retrieve the stash without a scare."
narrow_ledge_a0_lose,"No solid anchor point holds. You abandon the attempt."
narrow_ledge_a1_act,"Edge along the ledge"
narrow_ledge_a1_win,"You edge along with perfect balance and claim the hidden stash."
narrow_ledge_a1_lose,"A pebble skitters into the void. Too risky — you turn back."
narrow_ledge_a2_act,"Sprint the ledge"
narrow_ledge_a2_win,"You dash the ledge like a mountain goat and scoop up everything in the alcove!"
narrow_ledge_a2_lose,"The ledge crumbles mid-stride. You catch yourself hard on the lip."
locked_chest,"An ornate chest with a complex locking mechanism sits against the wall."
locked_chest_a0_act,"Study the mechanism"
locked_chest_a0_win,"You find the maker's release catch hidden under the lid. Click."
locked_chest_a0_lose,"The mechanism is beyond you. The chest stays shut."
locked_chest_a1_act,"Pick the lock"
locked_chest_a1_win,"The lock clicks open! Inside you find treasure."
locked_chest_a1_lose,"The lock jams. The chest won't budge."
locked_chest_a2_act,"Pry it open"
locked_chest_a2_win,"The lid tears off its hinges — everything inside is yours!"
locked_chest_a2_lose,"A needle trap fires from the strained lock."
trapped_reliquary,"A gem rests on a pressure-plate pedestal. One wrong move could trigger a trap."
trapped_reliquary_a0_act,"Map the trigger plates"
trapped_reliquary_a0_win,"You chart every plate and lift the gem from the one blind angle."
